name,description,slug,competency,tools_languages_methodologies,learning_resources,related_skills,rank
Computational scientific workflows (data pipelines),Ability to design and implement automated sequences of data processing steps that move and transform data between systems - typically within Workflow Management Systems (WMS) using workflow definition languages.  ,computational-scientific-workflows-data-pipelines,data-engineering,apache-airflow|cwl|galaxy|knime|nextflow|nextflow-dsl|parsl|snakefiles|snakemake|wdl,,programming|task-automation,140
Data acquisition,"Ability to identify, collect and process data effectively using suitable methods, tools and protocols.",data-acquisition,data-engineering,data-collection-techniques|data-collection-tools|google-forms|qualtrics|querying-an-api|surveymonkey|webscraping,,research-methodologies,60
Data and database management,"Ability to effectively select a data storage system and store, retrieve, manage and analyse information within it.",data-and-database-management,data-engineering,azure-data-studio|db2|dbeaver|excel|globus|google-sheets|mongodb|mysql|nosql|opendap|oracle|postgresql|rdf|redis|spreadsheets|sql-server|sqlite|toad|triple-stores|xml-databases,,data-and-database-query-languages|storage-systems,40
Data and database query languages,Proficiency in data or database query languages for managing and manipulating data.,data-and-database-query-languages,data-engineering,graphql|sparql|sql|xml|xquery,databases-and-sql-by-the-carpentries,data-and-database-management,50
Data cleaning,"Ability to identify, correct and remove errors, inconsistencies and missing values from datasets.",data-cleaning,data-engineering,data-validator|janitor|openrefine,data-carpentry-data-cleaning|kaggle-data-cleaning|library-carpentry-data-cleaning,data-wrangling,70
Data curation,"Ability to steward and enrich data to ensure it is accurate, well-annotated, properly documented, accessible and preserved for long-term reuse.",data-curation,data-engineering,,,,90
Data lifecycle management,"Ability to effectively manage data throughout its lifecycle, encompassing planning, collection, organisation, processing, storage, preservation and sharing, ensuring data quality, accessibility, compliance, protection and reuse. ",data-lifecycle-management,data-engineering,care-principles-for-indigenous-data-governance|data-citation|data-management-plans|data-versioning|dmponline|fair-data|open-formats|persistent-identifiers-pid,data-management-plan-the-turing-way|data-management-plans-dcc|rdmkit|the-fair-principles-the-turing-way|version-control-for-data-the-turing-way,metadata-standards,120
Data modelling and design,"Ability to plan, architect and implement data systems using appropriate data formats that satisfy research requirements and manage data assets.",data-modelling-and-design,data-engineering,json|uml|xml|yaml,,,30
Data protection and ethics,Understanding of data protection frameworks and measures to ensure secure and ethical data handling practices.,data-protection-and-ethics,data-engineering,care-principles-for-indigenous-data-governance|gdpr,ethics-and-law-the-turing-way,,110
Data wrangling ,"Ability to transform raw, messy data into clean, structured formats suitable for analysis, including cleaning, reshaping, enriching, transforming and integrating data from multiple sources.",data-wrangling,data-engineering,openrefine,data-wranglers-overview-the-turing-way|finding-your-way-to-r-for-data-science,data-cleaning,80
